Avg-7832,Avg-5411,Avg-5812,Avg-7032,Avg-5983,Avg-4111,Avg-5999,Avg-5691,Avg-4814,Avg-5621,TargetMCC1,AgeGroup_20,AgeGroup_30,AgeGroup_40,MaritalStatus_Married,MaritalStatus_Single,Day_Weekday,Day_Weekend,Gender_F,Gender_M,City_ISL,City_KHI,City_LHR
10,20,40,10,5,5,5,0,0,45,5621,0,0,1,1,0,1,0,1,0,0,1,0
65,10,0,0,5,28,0,0,0,0,7832,0,1,0,0,1,1,0,0,1,0,1,0
10,5,0,0,32,0,15,38,0,0,5691,0,0,1,1,0,1,0,1,0,0,1,0
80,2,0,42,22,5,0,0,0,0,7032,1,0,0,1,0,1,0,0,1,0,1,0
0,25,10,10,5,5,5,0,0,45,5621,0,0,1,1,0,0,1,0,1,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,0,1,0,0,1
0,20,10,10,5,5,5,45,0,0,5691,0,0,1,1,0,1,0,1,0,0,1,0
85,12,0,0,5,0,0,0,0,0,7832,0,1,0,0,1,0,1,1,0,0,1,0
10,20,20,10,5,5,5,5,15,0,5411,1,0,0,1,0,1,0,1,0,0,1,0
10,5,0,0,32,22,0,0,0,31,5983,0,0,1,1,0,1,0,0,1,0,1,0
10,5,0,0,32,0,15,38,0,0,5691,1,0,0,0,1,1,0,1,0,1,0,0
65,0,10,0,0,20,0,15,0,0,7832,0,0,1,0,1,1,0,1,0,0,1,0
10,10,0,0,5,0,0,0,0,0,7832,1,0,0,0,1,0,1,0,1,0,1,0
0,22,10,3,3,5,7,2,0,48,5621,0,1,0,1,0,1,0,0,1,1,0,0
0,0,0,62,22,5,0,0,0,0,7032,0,1,0,0,1,0,1,0,1,1,0,0
0,22,10,3,3,5,7,2,0,48,5621,0,0,1,1,0,1,0,1,0,0,1,0
0,11,0,62,21,0,0,0,0,0,7032,1,0,0,0,1,0,1,1,0,0,0,1
0,22,20,3,3,5,7,2,0,48,5621,1,0,0,0,1,1,0,0,1,1,0,0
10,5,10,0,32,0,15,0,0,38,5621,1,0,0,1,0,1,0,1,0,0,1,0
65,0,10,0,0,0,0,0,0,0,7832,0,1,0,1,0,0,1,1,0,1,0,0
10,5,0,0,32,0,15,38,0,0,5691,1,0,0,1,0,1,0,1,0,0,1,0
10,2,0,59,22,5,0,0,0,0,7032,1,0,0,1,0,1,0,0,1,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,1,0,1,0,0
10,25,20,10,5,5,5,5,15,0,5411,1,0,0,1,0,1,0,1,0,0,1,0
0,21,10,3,3,5,7,48,0,2,5691,0,0,1,1,0,0,1,1,0,0,0,1
0,20,10,10,5,5,5,45,0,0,5691,0,1,0,1,0,1,0,1,0,0,1,0
65,10,14,10,5,0,0,0,0,0,7832,1,0,0,1,0,0,1,0,1,0,0,1
0,12,10,10,5,5,5,0,0,45,5621,1,0,0,0,1,1,0,0,1,0,1,0
0,10,0,42,21,0,0,0,0,0,7032,1,0,0,0,1,0,1,0,1,1,0,0
0,44,0,0,5,25,5,20,1,0,5411,0,1,0,0,1,1,0,0,1,1,0,0
10,10,0,50,25,0,0,0,0,0,7032,1,0,0,0,1,1,0,1,0,0,1,0
